,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
633,"frozenset({'4', '0', '1'})","frozenset({'no', 'yes'})",0.13670886075949368,0.579746835443038,0.10126582278481013,0.7407407407407407,1.2776969108846838,1.0,0.02200929338247075,1.6209764918625675,0.2517595307917888,0.16460905349794236,0.38308790718429264,0.45770661491185505
740,"frozenset({'4', '1'})","frozenset({'no', 'yes', 'low'})",0.1518987341772152,0.5392405063291139,0.10379746835443038,0.6833333333333333,1.2672143974960877,1.0,0.02188751802595737,1.4550299800133246,0.24863487440844548,0.17672413793103448,0.3127289377289378,0.43791079812206574
500,"frozenset({'4', '1'})","frozenset({'no', 'yes'})",0.1518987341772152,0.579746835443038,0.11139240506329114,0.7333333333333333,1.264919941775837,1.0,0.023329594616247395,1.5759493670886073,0.24694708276797828,0.17959183673469387,0.3654618473895581,0.46273653566229983
738,"frozenset({'4', 'low', '1'})","frozenset({'no', 'yes'})",0.14430379746835442,0.579746835443038,0.10379746835443038,0.7192982456140351,1.2407109476748641,1.0,0.020137798429738826,1.4971518987341774,0.22672824361379712,0.1673469387755102,0.3320651025153245,0.4491687734620394
636,"frozenset({'4', '1'})","frozenset({'no', 'yes', '0'})",0.1518987341772152,0.5392405063291139,0.10126582278481013,0.6666666666666666,1.2363067292644756,1.0,0.019355872456337117,1.382278481012658,0.22537313432835812,0.17167381974248927,0.2765567765567765,0.42723004694835676
284,"frozenset({'4', '0', '1'})",frozenset({'no'}),0.13670886075949368,0.7063291139240506,0.11139240506329114,0.8148148148148148,1.1535908668525157,1.0,0.014830956577471549,1.5858227848101263,0.1542255398560383,0.1522491349480969,0.36941251596423996,0.4862604540023895
610,"frozenset({'4', '0', '1'})","frozenset({'no', 'low'})",0.13670886075949368,0.6582278481012658,0.10379746835443038,0.7592592592592592,1.1534900284900285,1.0,0.013811889120333279,1.4196689386562802,0.15413775838638152,0.15018315018315018,0.29561042524005476,0.45847578347578344
415,"frozenset({'5', '0'})","frozenset({'yes', 'low'})",0.12151898734177215,0.8,0.11139240506329114,0.9166666666666666,1.1458333333333333,1.0,0.014177215189873416,2.3999999999999986,0.14487817657846475,0.1375,0.583333333333333,0.5279535864978903
488,"frozenset({'4', '1'})","frozenset({'no', 'low'})",0.1518987341772152,0.6582278481012658,0.11392405063291139,0.75,1.139423076923077,1.0,0.01394007370613684,1.3670886075949369,0.14427860696517417,0.16363636363636364,0.2685185185185186,0.46153846153846156
606,"frozenset({'4', 'low', '0', '1'})",frozenset({'no'}),0.1291139240506329,0.7063291139240506,0.10379746835443038,0.803921568627451,1.1381685290603698,1.0,0.012600544784489673,1.497721518987342,0.1393930799773115,0.14186851211072662,0.332319134550372,0.47543748682268605
